date,home_team,away_team,home_goals,away_goals,home_xg,away_xg
2024-08-23,M'gladbach,Leverkusen,2,3,1.52,3.24
2024-08-24,RB Leipzig,Bochum,1,0,0.94,1.32
2024-08-24,Hoffenheim,Holstein Kiel,3,2,3.74,1.97
2024-08-24,Freiburg,Stuttgart,3,1,3.01,0.37
2024-08-24,Augsburg,Werder Bremen,2,2,1.32,1.54
2024-08-24,Mainz,Union Berlin,1,1,1.77,0.73
2024-08-24,Dortmund,Ein Frankfurt,2,0,1.93,1.15
2024-08-25,Wolfsburg,Bayern Munich,2,3,2.08,2.18
2024-08-25,St Pauli,Heidenheim,0,2,1.16,1.17
2024-08-30,Union Berlin,St Pauli,1,0,1.05,0.64
2024-08-31,Bochum,M'gladbach,0,2,0.92,2.67
2024-08-31,Werder Bremen,Dortmund,0,0,0.28,0.92
2024-08-31,Holstein Kiel,Wolfsburg,0,2,0.89,1.46
2024-08-31,Stuttgart,Mainz,3,3,4.21,1.95
2024-08-31,Ein Frankfurt,Hoffenheim,3,1,2.69,0.83
2024-08-31,Leverkusen,RB Leipzig,2,3,3.42,1.51
2024-09-01,Heidenheim,Augsburg,4,0,3.09,0.64
2024-09-01,Bayern Munich,Freiburg,2,0,1.63,0.97
2024-09-13,Dortmund,Heidenheim,4,2,2.84,1.61
2024-09-14,Hoffenheim,Leverkusen,1,4,1.06,3.42
2024-09-14,Freiburg,Bochum,2,1,3.96,1.11
2024-09-14,RB Leipzig,Union Berlin,0,0,1.29,0.86
2024-09-14,Wolfsburg,Ein Frankfurt,1,2,1.23,2.87
2024-09-14,M'gladbach,Stuttgart,1,3,2.05,2.72
2024-09-14,Holstein Kiel,Bayern Munich,1,6,0.3,4.13
2024-09-15,Augsburg,St Pauli,3,1,2.61,0.49
2024-09-15,Mainz,Werder Bremen,1,2,1.67,1.81
2024-09-20,Augsburg,Mainz,2,3,2.8,1.26
2024-09-21,Union Berlin,Hoffenheim,2,1,1.22,0.38
2024-09-21,Bochum,Holstein Kiel,2,2,1.32,2.27
2024-09-21,Heidenheim,Freiburg,0,3,0.38,1.24
2024-09-21,Werder Bremen,Bayern Munich,0,5,0.0,3.34
2024-09-21,Ein Frankfurt,M'gladbach,2,0,2.93,1.2
2024-09-22,Leverkusen,Wolfsburg,4,3,1.72,0.84
2024-09-22,Stuttgart,Dortmund,5,1,3.56,0.61
2024-09-22,St Pauli,RB Leipzig,0,0,1.67,0.84
2024-09-27,Dortmund,Bochum,4,2,4.17,1.03
2024-09-28,Freiburg,St Pauli,0,3,1.1,1.41
2024-09-28,Wolfsburg,Stuttgart,2,2,1.04,2.58
2024-09-28,Mainz,Heidenheim,0,2,0.37,1.09
2024-09-28,M'gladbach,Union Berlin,1,0,1.38,0.73
2024-09-28,RB Leipzig,Augsburg,4,0,2.82,1.07
2024-09-28,Bayern Munich,Leverkusen,1,1,1.19,0.09
2024-09-29,Holstein Kiel,Ein Frankfurt,2,4,1.03,2.43
2024-09-29,Hoffenheim,Werder Bremen,3,4,1.79,4.07
2024-10-04,Augsburg,M'gladbach,2,1,1.76,0.81
2024-10-05,Werder Bremen,Freiburg,0,1,0.88,1.58
2024-10-05,Union Berlin,Dortmund,2,1,1.53,0.75
2024-10-05,Bochum,Wolfsburg,1,3,2.29,2.37
2024-10-05,Leverkusen,Holstein Kiel,2,2,2.58,1.98
2024-10-05,St Pauli,Mainz,0,3,0.81,1.3
2024-10-06,Heidenheim,RB Leipzig,0,1,1.08,1.82
2024-10-06,Ein Frankfurt,Bayern Munich,3,3,1.5,2.83
2024-10-06,Stuttgart,Hoffenheim,1,1,1.73,0.89
2024-10-18,Dortmund,St Pauli,2,1,3.97,1.07
2024-10-19,Leverkusen,Ein Frankfurt,2,1,4.07,1.55
2024-10-19,Hoffenheim,Bochum,3,1,2.46,2.35
